TIME,V16_kV,P_fleet_MW,IB32A,IB32B,IB32C,BRK32,IB30A,IB30B,IB30C,BRK30,IB31A,IB31B,IB31C,BRK31
2.4,234.26,6236,-23.313,-36.44,59.753,0,-28.266,7.746,20.519,0,-22.848,-27.073,49.921,0
2.4002,234.12,6235.3,-20.526,-43.093,63.619,0,-24.527,1.6762,22.85,0,-19.092,-30.529,49.621,0
2.4004,234,6233.5,-17.273,-46.094,63.368,0,-17.15,-8.462,25.612,0,-12.497,-36.575,49.072,0
2.4006,233.97,6232.1,-13.184,-45.424,58.608,0,-12.352,-14.011,26.363,0,-6.9751,-42.699,49.674,0
2.4008,234.06,6230.7,-12.548,-43.038,55.586,0,-12.459,-13.039,25.499,0,-3.2515,-46.688,49.939,0
2.401,234.21,6230,-7.4812,-44.139,51.62,0,-14.11,-9.4954,23.606,0,1.6988,-49.505,47.806,0
2.4012,234.41,6229.1,-0.90648,-47.736,48.643,0,-14.234,-7.7049,21.939,0,7.0701,-49.669,42.599,0
2.4014,234.59,6230.2,5.3826,-55.501,50.119,0,-10.445,-11.074,21.519,0,9.8304,-48.044,38.214,0
2.4016,234.67,6232.8,10.552,-63.015,52.463,0,-6.4502,-18.465,24.915,0,10.945,-47.43,36.485,0
2.4018,234.67,6234.6,17.117,-66.991,49.875,0,-2.2038,-22.743,24.946,0,12.832,-49.374,36.542,0
2.402,234.63,6234,22.945,-65.334,42.39,0,-1.3745,-22.584,23.958,0,16.554,-53.12,36.565,0
2.4022,234.54,6233.4,24.313,-60.691,36.378,0,-2.7743,-17.159,19.933,0,21.484,-56.589,35.105,0
2.4024,234.41,6233.7,22.342,-56.244,33.902,0,-1.4469,-16.536,17.983,0,25.52,-57.657,32.137,0
2.4026,234.27,6233.2,24.699,-53.599,28.899,0,1.4127,-18.488,17.075,0,26.725,-55.849,29.124,0
2.4028,234.13,6234.1,32.758,-55.702,22.944,0,4.8709,-22.638,17.767,0,25.937,-52.405,26.468,0
2.403,233.98,6234.9,40.713,-60.714,20.001,0,7.5431,-24.42,16.877,0,26.856,-49.578,22.722,0
2.4032,233.92,6237,45.969,-65.634,19.665,0,9.2561,-23.173,13.916,0,30.967,-48.333,17.366,0
2.4034,233.98,6239.9,48.695,-66.166,17.471,0,9.3935,-21.787,12.393,0,38.731,-49.135,10.404,0
2.4036,234.13,6245,47.603,-61.705,14.102,0,10.707,-20.269,9.5627,0,52.318,-53.771,1.4532,0
2.4038,234.37,6248.2,46.16,-54.301,8.141,0,13.518,-19.986,6.4687,0,58.133,-54.773,-3.3605,0
2.404,234.59,6247.1,48.076,-47.325,-0.75109,0,16.153,-21.787,5.6342,0,52.014,-48.734,-3.28,0
2.4042,234.77,6243.9,53.077,-44.309,-8.7673,0,17.423,-22.603,5.18,0,44.421,-40.051,-4.3692,0
2.4044,234.86,6241.3,57.628,-44.161,-13.468,0,17.806,-21.596,3.7902,0,38.314,-31.572,-6.7418,0
2.4046,234.87,6243,63.041,-46.508,-16.533,0,18.113,-19.245,1.1314,0,39.558,-28.016,-11.542,0
2.4048,234.82,6248.9,64.295,-47.405,-16.89,0,19.098,-16.812,-2.2866,0,45.514,-28.579,-16.935,0
2.405,234.74,6257.4,60.937,-42.047,-18.89,0,20.908,-16.083,-4.8242,0,56.25,-32.776,-23.474,0
2.4052,234.65,6264.4,58.596,-34.936,-23.66,0,22.236,-16.237,-5.9994,0,69.269,-38.681,-30.588,0
2.4054,234.54,6262.8,56.174,-27.836,-28.338,0,22.646,-16.445,-6.2006,0,70.061,-36.532,-33.529,0
2.4056,234.47,6255.7,55.013,-20.578,-34.434,0,22.485,-16.699,-5.7861,0,55.3,-23.041,-32.26,0
2.4058,234.38,6250.8,56.866,-16.153,-40.714,0,22.763,-17.37,-5.3929,0,41.211,-9.2963,-31.915,0
2.406,234.28,6249.8,60.01,-17.666,-42.344,0,23.681,-18.131,-5.55,0,33.293,0.31506,-33.608,0
2.4062,234.21,6250.2,61.51,-19.979,-41.532,0,24.544,-16.045,-8.4996,0,33.643,4.4563,-38.099,0
2.4064,234.21,6251.2,58.844,-15.655,-43.189,0,24.06,-10.298,-13.762,0,40.086,3.8087,-43.895,0
2.4066,234.31,6252.9,52.888,-5.3773,-47.51,0,23.601,-6.5319,-17.069,0,46.862,1.9108,-48.773,0
2.4068,234.5,6252.4,48.807,3.6497,-52.457,0,22.59,-5.6634,-16.927,0,48.186,3.5519,-51.738,0
2.407,234.68,6251.3,50.33,6.6134,-56.944,0,22.143,-6.5334,-15.61,0,41.423,10.679,-52.102,0
2.4072,234.78,6251.6,54.19,5.5605,-59.75,0,23.429,-8.0322,-15.397,0,30.67,20.522,-51.192,0
2.4074,234.74,6251.8,56.641,3.5824,-60.223,0,24.483,-6.6218,-17.861,0,22.146,28.519,-50.666,0
2.4076,234.61,6250.4,55.019,4.3086,-59.328,0,22.812,-1.3366,-21.475,0,20.316,31.408,-51.724,0
2.4078,234.45,6249.9,48.639,9.5081,-58.147,0,19.258,4.3888,-23.647,0,23.641,29.609,-53.25,0
2.408,234.31,6250.7,39.332,18.792,-58.124,0,16.778,6.8467,-23.625,0,29.01,25.643,-54.652,0
2.4082,234.18,6251.3,30.579,28.652,-59.23,0,17.925,4.7481,-22.673,0,32.724,22.829,-55.553,0
2.4084,234.09,6251.4,25.307,34.887,-60.194,0,21.609,0.65518,-22.264,0,30.317,24.727,-55.044,0
2.4086,234.07,6251.2,23.792,36.219,-60.011,0,24.198,-0.93338,-23.265,0,20.349,32.709,-53.058,0
2.4088,234.06,6250.6,23.624,35.084,-58.708,0,23.296,1.4181,-24.714,0,9.1968,41.667,-50.863,0
2.409,234.05,6249.5,21.268,34.951,-56.219,0,18.72,6.799,-25.519,0,0.25466,48.412,-48.666,0
2.4092,234.09,6246.8,16.057,36.999,-53.056,0,13.165,12.026,-25.191,0,-4.7528,51.148,-46.395,0
2.4094,234.17,6245,7.5967,43.643,-51.24,0,9.4734,14.937,-24.41,0,-4.3863,49.478,-45.092,0
2.4096,234.26,6248.2,-2.6758,52.526,-49.851,0,9.2811,13.371,-22.653,0,-2.6058,46.959,-44.353,0
2.4098,234.36,6252.3,-8.8447,56.334,-47.49,0,9.578,12.994,-22.572,0,-4.4604,46.775,-42.315,0
2.41,234.44,6253.4,-10.854,55.431,-44.577,0,10.219,13.217,-23.435,0,-11.023,49.866,-38.844,0
2.4102,234.48,6251.1,-10.708,52.042,-41.333,0,8.2681,15.031,-23.299,0,-19.596,54.697,-35.1,0
2.4104,234.47,6248.4,-12.409,50.729,-38.32,0,4.6024,17.085,-21.688,0,-26.247,58.609,-32.362,0
2.4106,234.41,6246.4,-16.225,50.433,-34.208,0,-0.028353,20.093,-20.064,0,-27.893,59.318,-31.424,0
2.4108,234.31,6247.6,-23.293,54.822,-31.529,0,-2.4574,20.321,-17.864,0,-29.293,59.472,-30.178,0
2.411,234.14,6250.9,-30.765,57.661,-26.896,0,-3.6166,21.987,-18.37,0,-31.348,59.251,-27.903,0
2.4112,233.98,6252.2,-36.412,57.222,-20.81,0,-2.5924,20.269,-17.677,0,-29.61,55.22,-25.61,0
2.4114,233.91,6252.2,-39.337,54.002,-14.665,0,-2.8303,18.432,-15.602,0,-25.559,49.63,-24.071,0
2.4116,233.92,6250.5,-40.471,50.308,-9.8372,0,-5.7756,18.07,-12.294,0,-24.982,45.887,-20.905,0
2.4118,234,6248.3,-40.847,46.909,-6.0616,0,-10.35,19.567,-9.2172,0,-29.884,45.562,-15.679,0
2.412,234.15,6249.2,-43.297,45.923,-2.6261,0,-14.001,21.54,-7.5389,0,-38.857,47.282,-8.4252,0
2.4122,234.36,6251.4,-48.426,46.838,1.588,0,-15.223,22.671,-7.4479,0,-48.61,50.877,-2.2663,0
2.4124,234.55,6250.6,-54.073,46.422,7.6508,0,-14.295,21.587,-7.2925,0,-52.795,50.008,2.7871,0
2.4126,234.65,6247.5,-58.351,43.808,14.543,0,-13.571,19.029,-5.458,0,-50.643,44.499,6.1437,0
2.4128,234.68,6244.1,-59.517,39.226,20.291,0,-15.897,17.643,-1.746,0,-45.359,37.863,7.4964,0
2.413,234.65,6241.5,-58.426,34.687,23.739,0,-19.737,17.318,2.4193,0,-42.421,31.924,10.496,0
2.4132,234.59,6240.9,-56.95,32.074,24.876,0,-22.654,17.948,4.706,0,-42.455,27.74,14.715,0
2.4134,234.51,6243.2,-56.473,31.946,24.527,0,-22.926,18.546,4.3805,0,-48.14,27.276,20.865,0
2.4136,234.4,6245,-57.533,33.593,23.94,0,-21.208,17.979,3.2284,0,-53.852,27.095,26.757,0
2.4138,234.24,6243.6,-59.626,34.592,25.034,0,-20.192,16.531,3.6605,0,-55.027,25.418,29.609,0
2.414,234.06,6241.4,-60.82,30.755,30.064,0,-21.302,15.279,6.0222,0,-52.157,19.464,32.693,0
2.4142,234.03,6240.7,-60.032,22.545,37.486,0,-23.786,15.807,7.9785,0,-47.709,14.082,33.627,0
2.4144,234.11,6240.4,-58.061,12.409,45.652,0,-25.669,17.502,8.1668,0,-44.48,8.248,36.232,0
2.4146,234.25,6238.9,-54.471,3.3361,51.135,0,-25.195,16.152,9.0432,0,-41.723,2.9131,38.81,0
2.4148,234.38,6235.8,-51.48,-0.58411,52.064,0,-23.575,12.504,11.071,0,-40.492,-1.8734,42.365,0
2.415,234.45,6233.8,-50.027,-0.9407,50.968,0,-23.953,7.4247,16.529,0,-39.739,-6.2956,46.035,0
2.4152,234.48,6231.8,-48.757,-1.6271,50.384,0,-23.935,4.2642,19.671,0,-38.135,-10.634,48.77,0
2.4154,234.53,6230.9,-46.897,-5.219,52.116,0,-24.293,5.1039,19.189,0,-35.403,-14.89,50.294,0
2.4156,234.59,6229.7,-44.271,-12.171,56.443,0,-22.865,5.4046,17.461,0,-31.993,-18.997,50.99,0
2.4158,234.64,6229.9,-41.124,-20.276,61.4,0,-20.14,2.7924,17.347,0,-28.915,-22.545,51.461,0
2.416,234.66,6230,-38.544,-25.856,64.399,0,-18.68,-1.251,19.931,0,-26.95,-25.052,52.001,0
2.4162,234.58,6230.4,-37.458,-27.054,64.512,0,-19.38,-4.0064,23.387,0,-26.283,-26.453,52.736,0
2.4164,234.38,6231.7,-37.868,-24.119,61.986,0,-21.024,-4.1442,25.168,0,-26.447,-26.826,53.273,0
2.4166,234.24,6230.8,-37.835,-20.538,58.373,0,-21.757,-3.101,24.858,0,-26.538,-26.757,53.295,0
2.4168,234.17,6230.4,-33.626,-22.45,56.076,0,-21.239,-2.5131,23.753,0,-24.211,-28.549,52.76,0
2.417,234.18,6230.5,-26.452,-31.74,58.191,0,-20.85,-2.4549,23.304,0,-17.374,-33.631,51.005,0
2.4172,234.25,6229.8,-16.253,-43.348,59.602,0,-20.317,-3.4266,23.744,0,-8.8864,-40.074,48.96,0
2.4174,234.33,6229,-8.5161,-51.406,59.922,0,-18.162,-6.8387,25.001,0,-1.4229,-45.824,47.247,0
2.4176,234.43,6228,-4.9733,-52.291,57.264,0,-13.93,-11.601,25.531,0,4.43,-49.555,45.125,0
2.4178,234.51,6226.8,-4.4433,-47.814,52.258,0,-10.811,-13.756,24.567,0,5.4211,-50.633,45.212,0
2.418,234.56,6224.7,-4.2584,-43.25,47.509,0,-9.0269,-14.865,23.892,0,3.3467,-49.57,46.223,0
2.4182,234.63,6223.5,1.2281,-45.009,43.78,0,-7.4963,-14.636,22.132,0,4.4471,-50.13,45.683,0
2.4184,234.67,6223.8,8.891,-50.367,41.476,0,-6.4768,-16.678,23.154,0,10.403,-51.564,41.161,0
2.4186,234.67,6225.2,17.98,-59.502,41.522,0,-5.9395,-19.373,25.313,0,19.147,-52.948,33.801,0
2.4188,234.63,6226.1,24.435,-65.106,40.671,0,-2.3879,-20.923,23.311,0,26.468,-53.913,27.445,0
2.419,234.55,6225.4,27.14,-63.109,35.969,0,-0.28486,-18.807,19.092,0,28.709,-54.297,25.587,0
2.4192,234.44,6224,27.274,-56.996,29.722,0,2.8398,-21.285,18.445,0,25.373,-54.116,28.743,0
2.4194,234.28,6223.9,27.772,-49.932,22.16,0,6.5549,-27.063,20.508,0,20.251,-53.443,33.193,0
2.4196,234.1,6224.4,31.786,-47.326,15.54,0,5.7282,-25.804,20.076,0,19.779,-52.594,32.814,0
2.4198,234.01,6226.6,37.899,-50.935,13.035,0,5.4821,-22.308,16.826,0,26.491,-51.674,25.182,0
2.42,234.05,6230.5,44.841,-56.058,11.217,0,7.7676,-20.928,13.161,0,38.577,-51.052,12.475,0
2.4202,234.21,6233.2,50.305,-58.597,8.2925,0,10.905,-19.099,8.1939,0,55.121,-51.585,-3.536,0
2.4204,234.42,6232.4,52.177,-56.337,4.1603,0,14.706,-20.824,6.1173,0,61.216,-50.668,-10.548,0
2.4206,234.57,6227.4,51.554,-48.505,-3.0493,0,15.323,-22.664,7.3412,0,52.876,-46.975,-5.9005,0
2.4208,234.66,6222.7,50.737,-38.773,-11.964,0,16.221,-24.981,8.7599,0,37.471,-41.487,4.0157,0
2.421,234.68,6220.8,51.934,-34.792,-17.143,0,18.836,-26.616,7.7799,0,28.601,-36.951,8.3505,0
2.4212,234.65,6222.5,55.556,-37.134,-18.422,0,20.545,-23.375,2.83,0,34.66,-35.554,0.89358,0
2.4214,234.62,6228,60.093,-42.557,-17.536,0,19.095,-20.166,1.0712,0,49.03,-34.517,-14.513,0
2.4216,234.62,6235.4,63.372,-46.433,-16.939,0,19.644,-19.885,0.24071,0,62.14,-32.904,-29.236,0
2.4218,234.6,6241.2,63.955,-44.918,-19.037,0,20.98,-20.98,9.3393e-05,0,65.006,-28.983,-36.024,0
2.422,234.5,6240.1,61.99,-37.841,-24.149,0,23.28,-22.775,-0.50582,0,55.732,-22.429,-33.302,0
2.4222,234.4,6233.5,58.751,-26.781,-31.97,0,24.493,-22.8,-1.6932,0,41.869,-15.42,-26.449,0
2.4224,234.3,6226.9,56.844,-17.24,-39.604,0,23.377,-18.444,-4.9328,0,33.43,-10.5,-22.93,0
2.4226,234.25,6226.2,56.622,-11.902,-44.72,0,22.805,-15.011,-7.7936,0,36.329,-7.9135,-28.416,0
2.4228,234.23,6231.2,58.222,-12.177,-46.045,0,24.466,-14.641,-9.8253,0,46.142,-6.0977,-40.044,0
2.423,234.24,6238.7,58.619,-12.619,-46,0,26.381,-13.169,-13.211,0,53.807,-2.8484,-50.959,0
2.4232,234.3,6243.1,56.536,-10.043,-46.493,0,26.404,-13.27,-13.134,0,54.058,1.667,-55.725,0
2.4234,234.42,6239.4,53.271,-4.3412,-48.93,0,23.826,-12.476,-11.351,0,46.486,6.9215,-53.407,0
2.4236,234.54,6233.8,48.493,5.5156,-54.009,0,22.242,-7.3767,-14.865,0,33.93,13.296,-47.225,0
2.4238,234.69,6231.6,44.367,14.29,-58.658,0,22.317,-3.1599,-19.157,0,24.147,18.947,-43.095,0
2.424,234.84,6232.7,42.171,18.92,-61.091,0,23.592,-2.3485,-21.244,0,22.093,22.526,-44.619,0
2.4242,234.85,6237.9,42.059,19.199,-61.258,0,24.15,-1.1727,-22.978,0,27.177,23.991,-51.168,0
